x
72
26
57.99999999999999
92
164
85
164
157
22
72
87
51
0
73
0
129
164
72
30
71
151
69
90
65
166
38
378
78
42
0
400
175
30
35
86
32
200
272
26
77
41
200
86
0
94
55.00000000000001
10
85
0
78
0
96
0
64
188
0
161
150
64
193
106
114.99999999999999
143
129
246
123
123
153
143
34
96
260
9
