"cond..Int..","disp..Int..","cond.area.","cond.Year.","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight","R2"
-2.03752195054792,"+","+","+",-204.652870287036,-205.407156001322,-162.599069671238,11,113.703578000661,-162.599069671238,0,0.999999999499809,0.125983037030354
-2.55099640843585,"+",NA,"+",-158.056669039241,-158.683449666022,-119.767007547764,10,89.3417248330108,-119.767007547764,42.8320621234745,5.00191014111548e-10,0.0509751825193816
