"cond..Int..","disp..Int..","cond.area.","cond.Year.","cond.offset.log.Effort...","AICc","AIC","BIC","df","logLik","selectCriteria","delta","weight","R2"
-2.1839818198259,"+","+","+","+",1226.91422488629,1226.28744425951,1265.20388637776,10,-603.143722129753,1265.20388637776,0,1,0.126744647960938
-2.76808147822364,"+",NA,"+","+",1321.18994820108,1320.67858456472,1355.70338247115,9,-651.339292282359,1355.70338247115,90.4994960933857,2.22989347035138e-20,0.0286804137430432
