"Year","Total","TotalVar","Total.mean","TotalLCI","TotalUCI","Total.se","Total.cv"
"2011",3776.72778804343,235229.85969697,3834.83,2988.975,4786.15,485.005009971,0.12647366636096
"2012",3128.17483036505,163505.528888889,3163.92,2566.2,4184.5,404.358169064122,0.1278029055931
"2013",2311.62979505324,166065.597070707,2372.67,1599.5,3247.575,407.511468637028,0.171752274288893
"2014",1428.42887735033,73190.3802020202,1451.94,1027.75,2020.875,270.537206687029,0.186328089788165
"2015",1111.23633285578,74115.0703030303,1120.98,726.225,1740.5,272.240831439794,0.242859668718259
"2016",1726.01086840277,125421.746565657,1799.03,1215.525,2647.975,354.149328060434,0.196855710055104
"2017",1510.86141157743,88716.2031313131,1552.67,1027.45,2188.3,297.852653389748,0.191832555140337
"2018",1989.13467092384,128761.561515152,1998.79,1434.125,2846.55,358.833612577127,0.17952541916716
