"Year","Total","TotalVar","Total.mean","TotalLCI","TotalUCI","Total.se","Total.cv"
"2011",4669.85795023191,469924.807139995,4739.26079811319,3545.54747909313,6173.80448693804,685.51061781711,0.144645050572028
"2012",2968.23349661009,225535.816739012,3052.06771466724,2243.7327558539,4048.14205543901,474.906113604586,0.155601434176032
"2013",1947.1177410458,158991.207425902,1933.51887110166,1238.33906554582,2895.64662976256,398.737015369656,0.20622349299465
"2014",1168.25146283896,112298.683536588,1228.88787175532,713.457037107656,2009.56648584748,335.109957382033,0.272693681078785
"2015",1016.90729904383,70524.2632899932,1044.11464476385,650.18678575696,1623.92762814622,265.564047434876,0.254343762695656
"2016",2288.46860557913,216837.092253432,2394.35185533876,1663.64945090511,3334.94086391187,465.657698587098,0.194481733145781
"2017",1512.91078261143,124169.115932579,1575.0464439681,1012.72904190598,2264.77359350544,352.376383903035,0.223724440160173
"2018",1643.20230183617,135857.871356316,1723.21839197335,1115.20437972733,2636.36158820638,368.589027721005,0.213895713647134
