"","TMBnbinom1","TMBtweedie"
"KS.D",0.032721641233016,0.0576574585635359
"KS.p",0.833060509146728,0.1800649920108
"Dispersion.ratio",1.45570868004109,1.4738917060401
"Dispersion.p",0.024,0
"ZeroInf.ratio",0.964373464373464,0.968346779167592
"ZeroInf.p",0.536,0.608
"Outlier",5,8
"Outlier.p",0.08,0.00929427524192194
