"","Year","sets","BUM","lat","lon","hbf","season"
"601",1993,84,61,-2.5,-2.5,24,4
"602",1993,5,3,-7.5,-11.5,24,4
"603",1993,20,10,-2.5,-6.5,24,4
"604",1993,20,7,-9.5,-8.5,24,1
"605",1993,20,15,-6.5,-13.5,24,1
"606",1993,20,19,-6.5,-10.5,24,1
"607",1993,20,33,-7.5,-18.5,24,2
"608",1993,97,80,-2.5,-17.5,24,2
"609",1993,20,41,-7.5,-18.5,24,2
"610",1993,20,21,-7.5,-17,24,2
"611",1993,45,27,-2.5,-12.5,24,2
"612",1993,20,26,-7.5,-15.5,24,2
"613",1993,20,45,-8.5,-23.5,24,2
"614",1993,20,7,-8.5,3,24,2
"615",1993,8,0,-23,11,24,3
"616",1993,20,14,-2.5,-22.5,24,3
"617",1993,20,21,-2,-22.5,24,3
"618",1993,20,22,-7.5,-21.5,24,3
"619",1993,20,15,-2.5,-20.5,24,3
"620",1994,20,3,-13.5,-0.5,24,1
"621",1994,20,18,-7.5,-5.5,24,1
"622",1994,20,11,-8.5,-4.5,24,1
"623",1994,60,67,-7.5,-22.5,24,4
"624",1994,9,1,-7.5,10.5,24,4
"625",1994,20,18,-0.5,-3,24,4
"626",1994,20,23,-7.5,-24.5,24,4
"627",1994,20,16,-4.5,-8.5,24,4
"628",1994,20,27,-7.5,-18.5,24,4
"629",1994,18,11,-0.5,-11.5,24,4
"630",1994,20,9,-4.5,1.5,24,4
"631",1994,20,18,-5.5,-14.5,24,1
"632",1994,20,21,-6.5,-19.5,24,1
"633",1994,20,19,-8.5,-16.5,24,1
"634",1994,20,15,-8.5,-15.5,24,1
"635",1994,20,26,-7.5,-19.5,24,1
"636",1994,20,14,-9.5,-7.5,24,1
"637",1994,20,20,-5.5,-18.5,24,1
"638",1994,1,0,-5.5,-15.5,24,1
"639",1994,91,59,-7.5,-7.5,24,1
"640",1994,1,0,-2.5,-0.5,24,1
"641",1994,1,4,-25.5,-18.5,24,2
"642",1994,47,53,-28.5,6.5,24,2
"643",1994,31,17,-6.5,-1.5,24,2
"644",1994,1,0,-5.5,-15.5,24,2
"645",1994,15,13,-22.5,-0.5,24,2
"646",1994,20,26,-9.5,-18.5,24,2
"647",1994,14,6,-13.5,-1.5,24,3
"648",1994,49,27,-27.5,-1.5,24,3
"649",1994,79,108,-7.5,-22.5,24,3
"650",1994,1,0,-24.5,12.5,24,3
"651",1994,1,0,-4.5,9.5,24,3
"652",1995,25,31,-12.5,-12.5,24,1
"653",1995,20,5,-9.5,-7.5,24,1
"654",1995,20,10,-5.5,-8.5,24,1
"655",1995,20,6,-9.5,-6.5,24,1
"656",1995,20,12,-5.5,-2.5,24,1
"657",1995,20,11,-2,-13.5,24,4
"658",1995,20,17,-3.5,-7.5,24,4
"659",1995,20,10,-3.5,-3.5,24,4
"660",1995,20,7,-8.5,-14.5,24,4
"661",1995,20,10,-7.5,-13,24,4
"662",1995,20,7,-9.5,-2.5,24,4
"663",1995,20,11,-2.5,-6.5,24,4
"664",1995,20,10,-4.5,1.5,24,4
"665",1995,20,9,-7.5,-11.5,24,1
"666",1995,20,9,-8.5,-3.5,24,1
"667",1995,20,6,-6.5,-1.5,24,1
"668",1995,3,1,-8.5,7.5,24,1
"669",1995,5,5,-13.5,-12.5,24,1
"670",1995,12,10,-5.5,-17.5,24,2
"671",1995,23,22,-27.5,6.5,24,2
"672",1995,20,27,-9.5,-17.5,24,2
"673",1995,18,4,-28.5,11,24,2
"674",1995,19,30,-7.5,-27.5,24,3
"675",1995,63,55,-1.5,-22.5,24,3
"676",1996,20,12,-7.5,-12.5,24,1
"677",1996,42,3,-12.5,2,24,4
"678",1996,6,2,-10.5,-5.5,24,1
"679",1996,20,9,-9.5,-11.5,24,1
"680",1996,20,12,-5.5,-13.5,24,1
"681",1996,20,5,-5.5,-10.5,24,1
"682",1996,20,9,-8.5,-11.5,24,1
"683",1996,11,5,-32.5,6.5,24,1
"684",1996,26,17,-2,-7.5,24,1
"685",1996,20,11,-26.5,5.5,24,2
"686",1996,97,52,-27.5,7.5,24,2
"687",1996,69,4,-37.5,-7.5,24,2
"688",1996,20,0,-42.5,3.5,24,2
"689",1996,20,0,-43.5,3.5,24,2
"690",1996,27,0,-46.5,12.5,24,2
"691",1996,20,20,-7.5,-17.5,24,2
"692",1996,20,0,-40.5,-7,24,2
"693",1996,20,0,-41.5,-1.5,24,2
"694",1996,20,0,-43.5,-2.5,24,2
"695",1996,20,0,-44.5,11.5,24,2
"696",1996,34,22,-0.5,-23.5,24,3
"697",1996,5,0,-22.5,9.5,24,3
"698",1996,1,0,-32.5,10.5,24,3
"699",1997,2,2,-13,-16.5,24,1
"700",1997,3,4,-2.5,-28.5,24,4
"701",1997,20,3,-4.5,-1.5,24,4
"702",1997,20,6,-1.5,-4.5,24,4
"703",1997,1,0,-6.5,6.5,24,4
"704",1997,20,2,-7.5,-2.5,24,4
"705",1997,20,13,-6.5,-16.5,24,1
"706",1997,34,55,-7.5,-27.5,24,2
"707",1997,9,8,-5.5,-15.5,24,2
"708",1997,14,0,-40.5,3,24,3
"709",1997,21,14,-8.5,-7.5,24,3
"710",1997,13,2,-2.5,-12.5,24,3
"711",1997,23,8,-2.5,2.5,24,3
"712",1998,7,0,-11.5,-6.5,24,1
"713",1998,12,3,-5.5,1.5,24,1
"714",1998,20,3,-19.5,3.5,24,4
"715",1998,20,7,-9.5,-1.5,24,4
"716",1998,20,4,-6.5,-8.5,24,1
"717",1998,15,6,-37.5,17.5,24,1
"718",1998,22,5,-27.5,11.5,24,2
"719",1998,27,35,-7.5,-27.5,24,2
"720",1998,20,0,-42.5,14,24,2
"721",1998,20,0,-43.5,8.5,24,2
"722",1998,7,0,-11.5,6.5,24,3
"723",1998,20,0,-36.5,19.5,24,3
"724",1998,20,3,-38.5,17.5,24,3
"725",1998,1,0,-43.5,5.5,24,3
"726",1998,1,0,-7.5,-23.5,24,3
"727",1998,1,0,-15.5,10.5,24,3
"728",1999,20,4,-25.5,2.5,24,4
"729",1999,12,5,-1.5,-2.5,24,4
"730",1999,20,2,-17.5,8.5,24,4
"731",1999,7,0,-8.5,-7.5,24,4
"732",1999,20,3,-14.5,-3.5,24,1
"733",1999,10,8,-7.5,-16.5,24,1
"734",1999,64,26,-22.5,7.5,24,2
"735",1999,19,26,-6.5,-26.5,24,2
"736",1999,20,0,-41.5,11.5,24,2
"737",1999,20,0,-44.5,18.5,24,3
"738",2000,20,5,-8.5,-1,24,1
"739",2000,20,7,-5.5,-3.5,24,1
"740",2000,20,6,-5.5,-1.5,24,1
"741",2000,20,13,-5.5,-0.5,24,1
"742",2000,20,2,-9.5,1.5,24,1
"743",2000,20,0,-14.5,8,24,4
"744",2000,20,0,-19.5,10.5,24,4
"745",2000,23,19,-33.5,-47.5,24,4
"746",2000,16,4,-2.5,-22.5,24,4
"747",2000,39,41,-8.5,-27.5,24,4
"748",2000,5,2,-3.5,7.5,24,4
"749",2000,20,7,-6.5,-4.5,24,1
"750",2000,20,2,-6.5,2.5,24,1
"751",2000,20,6,-5.5,-0.5,24,1
"752",2000,20,3,-9.5,2,24,1
"753",2000,20,9,-6.5,3.5,24,1
"754",2000,2,1,-3.5,-3.5,24,2
"755",2000,20,0,-44.5,16.5,24,2
"756",2000,20,1,-16.5,7.5,24,2
"757",2000,14,0,-17,10.5,24,3
"758",2001,20,5,-8.5,-8.5,24,1
"759",2001,20,1,-9.5,-4.5,24,1
"760",2001,20,2,-17,7.5,24,4
"761",2001,20,2,-18.5,5.5,24,4
"762",2001,1,1,-14.5,-20.5,24,1
"763",2001,29,10,-12.5,-7.5,24,1
"764",2001,4,2,-36.5,-53,24,1
"765",2001,20,3,-6.5,-8.5,24,1
"766",2001,20,5,-5.5,-3.5,24,1
"767",2001,20,6,-7.5,-3.5,24,1
"768",2001,1,2,-28.5,-9.5,24,2
"769",2001,20,6,-28.5,6,24,2
"770",2001,20,7,-27.5,8.5,24,2
"771",2001,20,0,-44.5,7,24,2
"772",2001,14,22,-8.5,-33.5,24,2
"773",2001,43,0,-33.5,16.5,24,3
"774",2001,68,5,-32.5,12.5,24,3
"775",2002,35,2,-12.5,7.5,24,4
"776",2002,33,4,-7.5,7.5,24,4
"777",2002,3,2,-12.5,-16.5,24,4
"778",2002,20,4,-6.5,-18,24,1
"779",2002,81,47,-1.5,-17.5,24,1
"780",2002,20,0,-42.5,18.5,24,2
"781",2002,20,0,-43.5,6.5,24,2
"782",2002,3,3,-12.5,-17.5,24,2
"783",2002,3,1,-1.5,-16.5,24,3
"784",2002,7,7,-2.5,-27.5,24,3
"785",2002,24,5,-2.5,-12.5,24,3
"786",2003,46,12,-0.5,1.5,24,4
"787",2003,54,5,-7.5,7.5,24,4
"788",2003,55,8,-12.5,11.5,24,4
"789",2003,20,1,-19.5,8.5,24,4
"790",2003,20,0,-16.5,6.5,24,4
"791",2003,15,6,-2.5,-3.5,24,1
"792",2003,5,0,-44.5,-33.5,24,1
"793",2003,20,0,-41.5,11.5,24,2
"794",2003,2,0,-16.5,6,24,3
"795",2003,20,1,-27.5,12,24,3
"796",2003,20,3,-28.5,8,24,3
"797",2003,11,2,-6.5,-11.5,24,3
"798",2004,9,5,-7.5,-18.5,24,1
"799",2004,20,1,-9.5,-3.5,24,1
"800",2004,20,3,-8.5,-1.5,24,1
"801",2004,20,2,-5.5,4,24,1
"802",2004,20,2,-9.5,-1.5,24,1
"803",2004,17,0,-11.5,8.5,24,4
"804",2004,32,4,-27.5,1.5,24,4
"805",2004,20,2,-28.5,7.5,24,4
"806",2004,20,1,-16.5,5.5,24,4
"807",2004,20,0,-16.5,8.5,24,4
"808",2004,20,0,-16.5,9.5,24,4
"809",2004,20,2,-9.5,-3.5,24,4
"810",2004,20,2,-8.5,-0.5,24,4
"811",2004,53,28,-6.5,-22.5,24,1
"812",2004,20,12,-1.5,-3.5,24,1
"813",2004,11,6,-0.5,-0.5,24,1
"814",2004,20,2,-4.5,-0.5,24,1
"815",2004,20,6,-3.5,-2.5,24,1
"816",2004,20,4,-2.5,-4.5,24,1
"817",2004,2,1,-18,7.5,24,1
"818",2004,20,4,-3.5,-2.5,24,1
"819",2004,90,34,-27.5,2.5,24,2
"820",2004,20,4,-28.5,12.5,24,2
"821",2004,20,0,-19.5,11.5,24,3
"822",2004,20,13,-8,-27.5,24,3
"823",2005,20,0,-15.5,5.5,24,4
"824",2005,20,2,-9.5,3.5,24,4
"825",2005,20,2,-8.5,3,24,4
"826",2005,20,13,-6.5,-23.5,24,1
"827",2005,5,0,-42.5,11.5,24,3
"828",2006,51,1,-12.5,11.5,24,4
"829",2006,13,1,-11.5,7.5,24,4
"830",2006,20,0,-4.5,3.5,24,4
"831",2006,20,0,-14.5,5.5,24,4
"832",2006,20,1,-11.5,6.5,24,4
"833",2006,20,0,-6.5,7.5,24,4
"834",2006,20,5,-4.5,-8.5,24,1
"835",2006,20,4,-2.5,-8.5,24,1
"836",2006,20,10,-1.5,-1.5,24,1
"837",2006,1,1,-3.5,8.5,24,2
"838",2006,20,2,-17.5,6.5,24,2
"839",2006,61,0,-42.5,12.5,24,2
"840",2006,12,5,-8,-17.5,24,3
"841",2006,20,0,-3.5,5.5,24,3
"842",2006,20,2,-2.5,5.5,24,3
"843",2006,1,0,-13.5,2.5,24,3
"844",2006,62,22,-1.5,-22.5,24,3
"845",2007,20,0,-18.5,9,24,4
"846",2007,70,10,-7.5,-7.5,24,4
"847",2007,10,0,-12,-2.5,24,1
"848",2007,20,1,-8.5,0.5,24,1
"849",2007,20,7,-1.5,-3.5,24,1
"850",2007,20,5,-3.5,-3.5,24,1
"851",2007,20,4,-1.5,6.5,24,2
"852",2007,20,1,-7.5,8.5,24,2
"853",2007,14,0,-10.5,4,24,3
"854",2007,18,0,-15.5,8.5,24,3
"855",2007,14,0,-10.5,12.5,24,3
"856",2008,20,0,-16.5,5.5,24,1
"857",2008,11,5,-2.5,-22.5,24,1
"858",2008,20,4,-6.5,-21.5,24,4
"859",2008,2,0,-11.5,3.5,24,4
"860",2008,20,1,-14.5,1.5,24,1
"861",2008,20,0,-14.5,4,24,1
"862",2008,20,1,-8.5,-7,24,1
"863",2008,29,3,-13.5,7.5,24,2
"864",2008,27,6,-7.5,-11.5,24,2
"865",2008,20,4,-3.5,0.5,24,2
"866",2008,20,0,-19.5,6.5,24,3
"867",2008,20,0,-15.5,7.5,24,3
"868",2008,20,0,-17.5,2.5,24,3
"869",2009,20,5,-6.5,-22,24,1
"870",2009,20,5,-6.5,-22.5,24,4
"871",2009,10,1,-0.5,7.5,24,4
"872",2009,20,0,-15.5,6.5,24,4
"873",2009,20,6,-9.5,-11.5,24,1
"874",2009,20,7,-6.5,-12.5,24,1
"875",2009,20,10,-7.5,-22.5,24,2
"876",2009,20,0,-9.5,9.5,24,2
"877",2009,20,5,-2.5,-23.5,24,2
"878",2009,20,10,-1.5,-22,24,2
"879",2009,6,5,-12,-17,24,3
"880",2009,12,0,-43,11.5,24,3
"881",2009,2,1,-11.5,-13.5,24,3
"882",2010,3,1,-3.5,1.5,24,1
"883",2010,20,2,-12.5,10.5,24,4
"884",2010,26,0,-18,8,24,4
"885",2010,1,0,-6.5,-26.5,24,4
"886",2010,20,0,-17.5,5.5,24,4
"887",2010,20,5,-3.5,-17.5,24,4
"888",2010,15,4,-2.5,-7.5,24,1
"889",2010,12,2,-3,-26.5,24,1
"890",2010,96,0,-42.5,2.5,24,2
"891",2010,20,0,-19.5,10.5,24,3
"892",2010,20,0,-14.5,7.5,24,3
"893",2011,20,0,-13.5,1.5,24,1
"894",2011,88,33,-7.5,-17.5,24,1
"895",2011,20,7,-6.5,-22.5,24,4
"896",2011,20,0,-6.5,11.5,24,4
"897",2011,20,6,-9.5,-19.5,24,4
"898",2011,20,3,-0.5,-1.5,24,4
"899",2011,20,1,-11.5,2.5,24,1
"900",2011,20,1,-13.5,7.5,24,1
"901",2011,8,2,-7.5,-28,24,2
"902",2011,69,15,-12.5,-12.5,24,2
"903",2011,3,0,-18.5,3.5,24,2
"904",2011,97,5,-37.5,-52.5,24,2
"905",2011,29,4,-2.5,6.5,24,2
"906",2011,11,12,-6.5,-27.5,24,2
"907",2011,90,1,-17.5,8.5,24,3
"908",2011,2,0,-28.5,-7.5,24,3
"909",2011,20,0,-8.5,11.5,24,3
"910",2011,20,0,-7.5,10.5,24,3
"911",2012,20,4,-6.5,-17.5,24,1
"912",2012,24,1,-2,-11.5,24,4
"913",2012,20,1,-17.5,7.5,24,4
"914",2012,20,1,-16.5,6.5,24,4
"915",2012,20,2,-19.5,7.5,24,4
"916",2012,20,1,-9.5,11.5,24,4
"917",2012,20,0,-7.5,11.5,24,4
"918",2012,18,4,-1.5,-8.5,24,4
"919",2012,20,0,-18.5,7.5,24,4
"920",2012,20,2,-18.5,9.5,24,4
"921",2012,20,1,-17.5,6.5,24,4
"922",2012,20,1,-17.5,6.5,24,4
"923",2012,75,0,-42.5,12.5,24,2
"924",2012,20,1,-6.5,7.5,24,2
"925",2012,20,0,-7.5,8.5,24,2
"926",2012,20,0,-5.5,8.5,24,2
"927",2012,3,1,-5.5,9.5,24,2
"928",2012,58,5,-4.5,10.5,24,2
"929",2012,20,2,-24.5,0.5,24,3
"930",2013,20,1,-12.5,-1.5,24,1
"931",2013,4,0,-18.5,10.5,24,4
"932",2013,20,1,-18.5,7.5,24,4
"933",2013,20,2,-7.5,2,24,4
"934",2013,20,0,-13.5,-2.5,24,1
"935",2013,1,0,-6.5,-24.5,24,1
"936",2013,4,0,-32.5,7,24,2
"937",2013,20,0,-24.5,7.5,24,3
"938",2013,17,1,-42.5,2.5,24,3
"939",2013,20,3,-24.5,0.5,24,3
"940",2013,20,0,-20.5,3.5,24,3
"941",2014,20,0,-18,7.5,24,4
"942",2014,20,0,-15.5,5.5,24,4
"943",2014,20,1,-14.5,1.5,24,1
"944",2014,5,0,-7.5,1.5,24,2
"945",2014,20,1,-5.5,6.5,24,2
"946",2014,7,0,-15.5,9.5,24,2
"947",2014,11,0,-2.5,-6.5,24,2
"948",2014,20,0,-16.5,8.5,24,3
"949",2014,20,0,-18.5,8.5,24,3
"950",2014,5,0,-28.5,2.5,24,3
"951",2014,3,0,-11.5,-3.5,24,3
"952",2014,2,0,-15.5,4.5,24,3
"953",2014,2,0,-26.5,8,24,3
"954",2014,10,0,-15.5,8.5,24,3
"955",2015,20,2,-6.5,4,24,1
"956",2015,20,0,-8.5,10.5,24,4
"957",2015,4,0,-5.5,10.5,24,4
"958",2015,14,2,-15.5,3,24,4
"959",2015,46,0,-17.5,10.5,24,4
"960",2015,20,3,-12.5,2.5,24,1
"961",2015,20,1,-11.5,1,24,1
"962",2015,20,0,-14.5,2.5,24,1
"963",2015,2,0,-42.5,-17,24,2
"964",2015,20,0,-43.5,-8.5,24,2
"965",2015,4,0,-12.5,11.5,24,3
"966",2015,21,0,-31.5,6.5,24,3
"967",2015,5,0,-8.5,10.5,24,3
"968",2016,1,0,-8.5,-11.5,24,4
"969",2016,20,1,-18.5,7.5,24,4
"970",2016,42,0,-13.5,3,24,4
"971",2016,20,1,-6.5,2,24,4
"972",2016,20,1,-5.5,1.5,24,4
"973",2016,20,0,-11.5,8,24,1
"974",2016,20,2,-21.5,6.5,24,3
"975",2016,20,0,-42.5,5.5,24,3
"976",2016,17,0,-18.5,2.5,24,3
"977",2016,6,0,-32.5,-7,24,3
"978",2016,20,0,-32.5,-3,24,3
"979",2016,20,1,-23.5,1.5,24,3
"980",2017,20,0,-18.5,2,24,4
"981",2017,17,0,-15.5,4.5,24,4
"982",2017,13,0,-12.5,3.5,24,4
"983",2017,17,2,-7.5,-6.5,24,4
"984",2017,11,0,-3.5,-11.5,24,4
"985",2017,20,0,-41.5,-7.5,24,2
"986",2017,20,0,-41.5,2.5,24,2
"987",2017,3,0,-1.5,-8.5,24,2
"988",2017,20,0,-43.5,-0.5,24,2
"989",2017,20,1,-20.5,7.5,24,2
"990",2017,15,0,-20.5,9.5,24,2
"991",2017,29,0,-33.5,1.5,24,2
"992",2017,2,0,-15.5,4.5,24,3
"993",2018,4,0,-40.5,-0.5,24,2
"994",2018,20,0,-43.5,-3.5,24,2
"995",2018,1,0,-5.5,3.5,24,2
"996",2018,20,0,-44.5,2.5,24,2
"997",2018,20,1,-23.5,3.5,24,3
"998",2018,20,0,-21.5,9,24,3
"999",2018,9,0,-10.5,3.5,24,3
"1000",2018,12,1,-20.5,4.5,24,3
