"","Year","sets","BUM","lat","lon","hbf","season"
"121",2007,30,1,-12.5,7.5,3,3
"122",2007,16,1,-5.5,9.5,3,3
"123",2007,53,3,-2.5,2.5,3,3
"124",2008,20,2,-3.5,1.5,3,4
"125",2008,20,3,-18.5,7.5,3,4
"126",2008,20,2,-18.5,8.5,3,4
"127",2008,20,1,-11.5,-3.5,3,1
"128",2008,20,0,-6.5,7.5,3,2
"129",2008,20,4,-0.5,6.5,3,2
"130",2008,20,1,-37.5,18.5,3,3
"131",2009,20,1,-18.5,8.5,3,4
"132",2009,20,2,-5.5,-2.5,3,1
"133",2009,13,0,-33.5,13.5,3,2
"134",2009,7,0,-35.5,-51.5,3,2
"135",2009,6,1,-8,-8.5,3,2
"136",2010,7,0,-3.5,-7.5,3,1
"137",2010,20,0,-8.5,11.5,3,4
"138",2010,20,0,-8.5,10.5,3,4
"139",2010,20,0,-8.5,10.5,3,4
"140",2010,55,4,-7.5,2.5,3,1
"141",2010,20,4,-0.5,7.5,3,2
"142",2010,18,5,-22.5,-13.5,3,3
"143",2011,20,0,-12.5,11.5,3,4
"144",2011,2,1,-3,-22,3,1
"145",2011,20,0,-38.5,-53.5,3,3
"146",2011,20,1,-35.5,-53.5,3,3
"147",2011,20,0,-15.5,7.5,3,3
"148",2011,20,0,-18.5,5.5,3,3
"149",2011,9,0,-0.5,1.5,3,3
"150",2011,3,0,-14.5,7.5,3,3
"151",2012,20,0,-10.5,-1.5,3,1
"152",2012,20,2,-8.5,-18.5,3,4
"153",2012,20,2,-0.5,6.5,3,4
"154",2012,20,2,-32.5,12.5,3,2
"155",2012,20,1,-31,12.5,3,2
"156",2013,20,0,-11.5,2.5,3,1
"157",2013,20,2,-13.5,-3.5,3,1
"158",2013,20,3,-5.5,8.5,3,2
"159",2013,20,0,-12.5,10.5,3,3
"160",2013,7,0,-42.5,12.5,3,3
"161",2014,39,8,-7.5,-12.5,3,1
"162",2014,20,0,-9.5,1.5,3,4
"163",2014,20,1,-7.5,3.5,3,4
"164",2014,20,0,-6.5,3.5,3,4
"165",2014,14,0,-5.5,3.5,3,4
"166",2014,20,0,-12.5,7.5,3,1
"167",2014,20,0,-11.5,6.5,3,1
"168",2014,9,0,-41.5,-12.5,3,2
"169",2014,20,0,-42.5,-2.5,3,2
"170",2014,20,0,-9.5,11.5,3,3
"171",2014,20,1,-6.5,10.5,3,3
"172",2015,20,0,-8.5,-0.5,3,1
"173",2015,20,3,-7.5,-1,3,1
"174",2015,45,10,-7.5,-7.5,3,1
"175",2016,2,2,-8,-22.5,3,1
"176",2016,8,3,-7,-28,3,2
"177",2016,20,0,-44.5,-2.5,3,2
"178",2016,20,0,-44.5,-0.5,3,2
"179",2016,82,0,-42.5,-2,3,3
"180",2016,29,3,-2.5,-6.5,3,3
"181",2017,20,1,-21.5,2.5,3,3
"182",2018,20,0,-18.5,7.5,3,4
"183",2018,20,0,-16.5,8.5,3,4
"184",2018,3,1,-35.5,12.5,3,1
"185",2018,9,0,-33.5,7.5,3,2
"186",2018,20,0,-41.5,5.5,3,2
"187",2018,20,0,-15.5,7,3,3
"188",1990,4,0,-13,-1,10,1
"189",1990,20,8,-6.5,-14.5,10,1
"190",1990,20,29,-6.5,-18.5,10,1
"191",1990,19,47,-7.5,-27.5,10,1
"192",1990,20,1,-17.5,8,10,4
"193",1990,20,0,-15.5,7.5,10,4
"194",1990,20,1,-16.5,8.5,10,4
"195",1990,18,8,-5.5,-11.5,10,1
"196",1990,20,17,-9.5,-15.5,10,1
"197",1990,20,21,-8.5,-18.5,10,1
"198",1990,4,2,-5.5,-5.5,10,1
"199",1990,20,20,-8.5,-17.5,10,1
"200",1990,8,4,-36.5,16.5,10,2
"201",1990,25,9,-1.5,-22.5,10,2
"202",1990,5,0,-37.5,18.5,10,2
"203",1991,10,1,-13,2.5,10,4
"204",1991,5,0,-27.5,11.5,10,4
"205",1991,2,0,-6,2.5,10,4
"206",1991,20,1,-18.5,8.5,10,4
"207",1991,20,1,-17.5,9.5,10,4
"208",1991,1,2,-35.5,16.5,10,4
"209",1991,6,1,-8.5,8,10,4
"210",1991,16,14,-7,-11.5,10,4
"211",1991,5,4,-2.5,-12.5,10,1
"212",1991,1,1,-30.5,-40.5,10,1
"213",1991,3,6,-22.5,2.5,10,2
"214",1991,2,0,-8,8.5,10,2
"215",1991,8,6,-7,-17.5,10,2
"216",1991,21,23,-7.5,-17.5,10,2
"217",1991,22,12,-0.5,-23.5,10,2
"218",1991,14,2,-27.5,6.5,10,3
"219",1991,16,0,-23,8,10,3
"220",1991,13,0,-36.5,17.5,10,3
"221",1992,20,0,-14.5,5.5,10,4
"222",1992,20,0,-11.5,6.5,10,4
"223",1992,19,1,-10.5,9.5,10,4
"224",1992,52,17,-7.5,-7.5,10,4
"225",1992,1,1,-24.5,9.5,10,1
"226",1992,18,21,-22.5,1.5,10,2
"227",1992,11,7,-6.5,-12.5,10,3
"228",1993,4,2,-3,-2,10,1
"229",1993,20,0,-13.5,8,10,4
"230",1993,19,1,-15.5,9.5,10,4
"231",1993,4,1,-2,-12.5,10,4
"232",1993,20,5,-19.5,6.5,10,4
"233",1993,20,0,-19.5,9.5,10,4
"234",1993,24,20,-6.5,-18.5,10,4
"235",1993,10,3,-6.5,-11.5,10,4
"236",1993,1,0,-8.5,10.5,10,4
"237",1993,13,2,-7.5,8.5,10,4
"238",1993,28,1,-17.5,7,10,2
"239",1993,7,5,-26.5,-2.5,10,2
"240",1993,11,1,-28.5,2.5,10,3
"241",1993,25,2,-38.5,17.5,10,3
"242",1993,20,6,-1.5,0.5,10,3
"243",1993,1,0,-0.5,6.5,10,3
"244",1993,12,1,-18.5,8,10,3
"245",1993,8,3,-23,7.5,10,3
"246",1993,19,1,-7.5,3.5,10,3
"247",1994,14,3,-5.5,0,10,1
"248",1994,20,0,-19.5,10.5,10,4
"249",1994,20,0,-16.5,10.5,10,4
"250",1994,13,0,-27.5,6.5,10,4
"251",1994,9,2,-32.5,12.5,10,4
"252",1994,68,3,-32.5,16.5,10,4
"253",1994,40,46,-7.5,-22.5,10,4
"254",1994,21,28,-8.5,-27.5,10,4
"255",1994,25,16,-1.5,0.5,10,4
"256",1994,20,8,-14.5,-2.5,10,1
"257",1994,20,2,-12.5,0,10,1
"258",1994,7,3,-7.5,-17.5,10,2
"259",1994,38,26,-27.5,7.5,10,2
"260",1994,16,0,-8.5,-2,10,2
"261",1994,2,0,-33,3,10,2
"262",1994,20,12,-7.5,-8,10,2
"263",1994,2,0,-8.5,11,10,3
"264",1994,34,2,-11.5,8.5,10,3
"265",1994,2,0,-23.5,-1,10,3
"266",1994,46,9,-27.5,7.5,10,3
"267",1994,11,1,-33.5,11.5,10,3
"268",1994,20,0,-19.5,10.5,10,3
"269",1994,20,0,-17.5,10.5,10,3
"270",1995,20,0,-17.5,7.5,10,4
"271",1995,20,0,-19.5,9.5,10,4
"272",1995,23,14,-8.5,-22.5,10,4
"273",1995,20,0,-17.5,10.5,10,4
"274",1995,20,1,-19.5,8.5,10,4
"275",1995,29,10,-17.5,1.5,10,2
"276",1995,35,39,-22.5,1.5,10,2
"277",1995,79,19,-27.5,12.5,10,2
"278",1995,4,1,-28.5,15.5,10,2
"279",1995,29,13,-22.5,3.5,10,2
"280",1995,2,2,-26.5,-11.5,10,2
"281",1995,21,8,-22.5,-2.5,10,3
"282",1995,20,3,-30.5,12.5,10,3
"283",1995,8,1,-1.5,-18.5,10,3
"284",1995,20,0,-10.5,2.5,10,3
"285",1995,20,1,-10.5,6.5,10,3
"286",1995,20,0,-16.5,3.5,10,3
"287",1995,9,0,-15.5,10.5,10,3
"288",1995,20,0,-18.5,10.5,10,3
"289",1995,72,1,-17.5,7.5,10,3
"290",1995,43,6,-22.5,7.5,10,3
"291",1996,68,28,-12.5,-7.5,10,1
"292",1996,20,6,-7.5,-9.5,10,1
"293",1996,20,14,-7.5,-8.5,10,1
"294",1996,20,8,-6.5,-0.5,10,1
"295",1996,20,6,-3.5,-11.5,10,1
"296",1996,6,1,-7.5,1.5,10,4
"297",1996,17,11,-16.5,-2.5,10,4
"298",1996,20,0,-15.5,8.5,10,4
"299",1996,20,7,-18.5,6.5,10,4
"300",1996,20,5,-7.5,-5.5,10,1
"301",1996,20,6,-6.5,-7.5,10,1
"302",1996,20,13,-5.5,-18.5,10,1
"303",1996,20,9,-6.5,-8.5,10,1
"304",1996,2,0,-13,-6,10,2
"305",1996,20,4,-28.5,12.5,10,2
"306",1996,39,16,-32.5,2.5,10,2
"307",1996,20,0,-42.5,14.5,10,2
"308",1996,20,0,-40.5,12.5,10,2
"309",1996,20,18,-7,-22.5,10,2
"310",1997,20,9,-7.5,-6.5,10,1
"311",1997,20,15,-5.5,-8.5,10,1
"312",1997,20,8,-9.5,-6.5,10,1
"313",1997,20,2,-9.5,-0.5,10,1
"314",1997,20,0,-16.5,7.5,10,4
"315",1997,20,1,-16.5,8.5,10,4
"316",1997,20,16,-1.5,-2.5,10,4
"317",1997,20,11,-0.5,-2.5,10,4
"318",1997,20,5,-10.5,-2.5,10,1
"319",1997,20,10,-6.5,-8.5,10,1
"320",1997,9,3,-5.5,-5.5,10,1
"321",1997,20,8,-8.5,-9.5,10,1
"322",1997,4,4,-27,-1,10,1
"323",1997,20,13,-7.5,-11,10,1
"324",1997,20,11,-26.5,3.5,10,2
"325",1997,20,3,-6.5,7.5,10,2
"326",1997,20,1,-5.5,8.5,10,2
"327",1997,3,2,-22.5,1.5,10,3
"328",1997,20,0,-19.5,10.5,10,3
"329",1997,2,1,-2.5,-7,10,3
"330",1998,20,2,-19.5,0.5,10,4
"331",1998,16,11,-13.5,-12,10,4
"332",1998,8,0,-12.5,1.5,10,4
"333",1998,20,0,-15.5,6.5,10,4
"334",1998,4,1,-5.5,-20.5,10,2
"335",1998,20,11,-6.5,-17.5,10,2
"336",1998,20,0,-17.5,10.5,10,3
"337",1998,3,0,-26.5,7.5,10,3
"338",1998,10,0,-42.5,-2.5,10,3
"339",1998,28,8,-1.5,7.5,10,3
"340",1998,20,1,-39.5,15.5,10,3
"341",1998,13,1,-35.5,19.5,10,3
"342",1998,6,2,-8,2.5,10,3
"343",1999,20,6,-5.5,-3.5,10,4
"344",1999,1,2,-3.5,5.5,10,4
"345",1999,19,19,-12.5,-12.5,10,1
"346",1999,5,1,-38.5,19.5,10,2
"347",1999,15,5,-7.5,-2.5,10,2
"348",1999,20,0,-15.5,10.5,10,2
"349",1999,20,1,-28.5,8,10,2
"350",1999,6,0,-37,12.5,10,2
"351",1999,20,0,-44.5,16.5,10,2
"352",1999,20,0,-42.5,16.5,10,2
"353",1999,26,6,-12.5,2,10,3
"354",1999,2,0,-17,3,10,3
"355",2000,20,4,-15.5,2.5,10,4
"356",2000,20,0,-15.5,8.5,10,4
"357",2000,20,1,-17.5,8.5,10,4
"358",2000,20,4,-5.5,-3.5,10,4
"359",2000,1,0,-5.5,4.5,10,4
"360",2000,13,7,-8.5,7.5,10,1
"361",2000,20,2,-19.5,10.5,10,2
"362",2000,11,3,-33.5,8.5,10,2
"363",2000,11,4,-22.5,7.5,10,2
"364",2000,20,0,-41.5,2.5,10,2
"365",2000,20,0,-40.5,-1.5,10,2
"366",2000,20,0,-41.5,1,10,2
"367",2000,20,0,-44.5,6.5,10,2
"368",2000,9,2,-7.5,1.5,10,2
"369",2001,48,41,-7.5,-22.5,10,4
"370",2001,54,25,-2.5,-7.5,10,4
"371",2001,64,29,-7.5,-12.5,10,1
"372",2001,39,3,-12.5,2.5,10,1
"373",2001,85,0,-42.5,2.5,10,2
"374",2001,8,0,-38,16,10,3
"375",2002,20,1,-12.5,6,10,4
"376",2002,21,12,-27.5,1.5,10,2
"377",2002,20,0,-41.5,3.5,10,2
"378",2002,3,0,-40.5,9.5,10,2
"379",2002,20,0,-42.5,5.5,10,2
