"Year","ratioMean","ratioSE","deltaMean","deltaSE"
2011,3789.43579500592,445.693951423763,4599.29260908012,756.809041761407
2012,2805.12320182512,351.426888863862,2803.59250532011,438.333958769138
2013,2401.82762189698,290.537812524601,2631.17515767856,448.20435165242
2014,1320.75024543692,277.585319880152,1386.79365497698,332.138598050596
2015,806.818910078089,180.642713865061,719.904244117081,184.277891344969
2016,1540.43134207572,346.379914247766,1895.16697103289,580.393965779786
2017,1514.00536412937,548.897288503549,1367.9526294307,508.509464862734
2018,1681.44931957844,247.770130698621,1770.26463374996,357.832833701468
